Data No.,Date,Process ID,Avg. Current,Avg. Voltage,Avg. Wire Feed,Prediction,Label
258,2020-07-15 14:58:16.826948,1,249.2,29.3,7.6,null,normal
259,2020-07-15 14:58:17.026948,1,240.8,26.8,7.5,null,normal
260,2020-07-15 14:58:17.226948,1,257.3,28.5,7.9,null,normal
261,2020-07-15 14:58:17.426948,1,257.2,29.4,8.0,null,normal
262,2020-07-15 14:58:17.626948,1,241.4,26.8,7.4,null,normal
263,2020-07-15 14:58:17.826948,1,247.9,26.6,7.5,null,normal
264,2020-07-15 14:58:18.026948,1,255.4,28.8,8.0,null,normal
265,2020-07-15 14:58:18.226948,1,261.9,29.5,7.9,null,normal
266,2020-07-15 14:58:18.426948,1,249.3,27.5,7.7,null,normal
267,2020-07-15 14:58:18.626948,1,245.8,26.5,7.5,null,normal
268,2020-07-15 14:58:18.826948,1,254.4,27.8,7.9,null,normal
269,2020-07-15 14:58:19.026948,1,257.2,29.7,7.9,null,normal
270,2020-07-15 14:58:19.226948,1,255.0,29.6,8.0,null,normal
271,2020-07-15 14:58:19.426948,1,252.4,27.9,7.7,null,normal
272,2020-07-15 14:58:19.626948,1,254.9,28.4,7.9,null,normal
273,2020-07-15 14:58:19.826948,1,262.1,30.2,8.1,null,normal
274,2020-07-15 14:58:20.026948,1,243.7,25.8,7.5,null,normal
275,2020-07-15 14:58:20.226948,1,248.2,27.1,7.8,null,normal
276,2020-07-15 14:58:20.426948,1,253.4,28.3,7.9,null,normal
277,2020-07-15 14:58:20.626948,1,256.6,28.2,8.0,null,normal
278,2020-07-15 14:58:20.826948,1,252.4,27.1,7.7,null,normal
279,2020-07-15 14:58:21.026948,1,250.6,27.0,7.8,null,normal
280,2020-07-15 14:58:21.226948,1,262.5,28.1,8.1,null,normal
281,2020-07-15 14:58:21.426948,1,250.9,29.5,7.7,null,normal
282,2020-07-15 14:58:21.626948,1,253.3,29.6,7.8,null,normal
283,2020-07-15 14:58:21.826948,1,242.9,25.7,7.4,null,normal
284,2020-07-15 14:58:22.026948,1,246.4,26.5,7.5,null,normal
285,2020-07-15 14:58:22.226948,1,246.5,26.5,7.6,null,normal
286,2020-07-15 14:58:22.426948,1,240.6,28.7,7.4,null,normal
287,2020-07-15 14:58:22.626948,1,257.6,29.8,8.0,null,normal
288,2020-07-15 14:58:22.826948,1,264.0,29.7,8.2,null,normal
289,2020-07-15 14:58:23.026948,1,244.9,25.9,7.7,null,normal
290,2020-07-15 14:58:23.226948,1,252.3,28.7,7.7,null,normal
291,2020-07-15 14:58:23.426948,1,256.3,28.8,7.8,null,normal
292,2020-07-15 14:58:23.626948,1,255.3,28.6,7.9,null,normal
293,2020-07-15 14:58:23.826948,1,246.6,25.7,7.6,null,normal
294,2020-07-15 14:58:24.026948,1,260.6,29.5,8.2,null,normal
295,2020-07-15 14:58:24.226948,1,261.4,29.8,8.1,null,normal
296,2020-07-15 14:58:24.426948,1,254.0,28.9,7.9,null,normal
297,2020-07-15 14:58:24.626948,1,260.7,29.1,8.2,null,normal
298,2020-07-15 14:58:24.826948,1,247.6,27.5,7.7,null,normal
299,2020-07-15 14:58:25.026948,1,253.2,27.1,7.8,null,normal
300,2020-07-15 14:58:25.226948,1,252.8,28.6,7.8,null,normal
301,2020-07-15 14:58:25.426948,1,255.3,29.5,7.8,null,normal
302,2020-07-15 14:58:25.626948,1,247.6,26.5,7.7,null,normal
303,2020-07-15 14:58:25.826948,1,251.8,30.0,7.8,null,normal
304,2020-07-15 14:58:26.026948,1,255.4,27.1,8.0,null,normal
305,2020-07-15 14:58:26.226948,1,257.8,29.6,8.0,null,normal
306,2020-07-15 14:58:26.426948,1,234.8,27.2,7.1,null,normal
307,2020-07-15 14:58:26.626948,1,263.4,29.8,8.1,null,normal
308,2020-07-15 14:58:26.826948,1,253.7,27.7,7.8,null,normal
309,2020-07-15 14:58:27.026948,1,242.0,26.0,7.4,null,normal
310,2020-07-15 14:58:27.226948,1,257.1,27.6,7.9,null,normal
311,2020-07-15 14:58:27.426948,1,240.8,24.4,7.4,null,normal
312,2020-07-15 14:58:27.626948,1,251.7,27.5,8.0,null,normal
313,2020-07-15 14:58:27.826948,1,243.7,26.6,7.5,null,normal
314,2020-07-15 14:58:28.026948,1,261.9,28.9,8.0,null,normal
315,2020-07-15 14:58:28.226948,1,260.0,30.0,8.1,null,normal
316,2020-07-15 14:58:28.426948,1,263.1,30.0,8.2,null,normal
317,2020-07-15 14:58:28.626948,1,253.8,29.4,7.8,null,normal
318,2020-07-15 14:58:28.826948,1,245.5,28.1,7.5,null,normal
319,2020-07-15 14:58:29.026948,1,246.0,26.7,7.6,null,normal
320,2020-07-15 14:58:29.226948,1,256.8,27.6,7.9,null,normal
321,2020-07-15 14:58:29.426948,1,253.9,29.1,7.9,null,normal
322,2020-07-15 14:58:29.626948,1,256.0,27.4,7.9,null,normal
323,2020-07-15 14:58:29.826948,1,251.3,27.3,7.8,null,normal
324,2020-07-15 14:58:30.026948,1,247.7,27.8,7.6,null,normal
325,2020-07-15 14:58:30.226948,1,250.3,28.0,7.6,null,normal
326,2020-07-15 14:58:30.426948,1,257.4,28.0,8.0,null,normal
327,2020-07-15 14:58:30.626948,1,246.4,27.5,7.6,null,normal
328,2020-07-15 14:58:30.826948,1,245.0,27.2,7.5,null,normal
329,2020-07-15 14:58:31.026948,1,246.6,25.8,7.5,null,normal
330,2020-07-15 14:58:31.226948,1,250.4,27.7,7.7,null,normal
331,2020-07-15 14:58:31.426948,1,242.2,29.9,7.4,null,normal
332,2020-07-15 14:58:31.626948,1,247.2,28.5,7.7,null,normal
333,2020-07-15 14:58:31.826948,1,249.0,27.7,7.8,null,normal
334,2020-07-15 14:58:32.026948,1,241.3,28.2,7.3,null,normal
